week_day,month,year,hexagon_id,num_in,weekend,ride_distance,load_coef
0.0,1.0,2019.0,1.0,2296,False,12271.450006590007,0.6215484569572279
0.0,1.0,2019.0,2.0,194,False,1042.8200053999994,0.05251759610178668
0.0,1.0,2019.0,3.0,392,False,1950.2900040899992,0.1061180292365999
0.0,1.0,2019.0,4.0,382,False,1973.4899975400012,0.10341093665403357
0.0,1.0,2019.0,5.0,1104,False,5911.430001280008,0.29886302111532215
0.0,1.0,2019.0,6.0,326,False,1478.9999987000003,0.08825121819166215
0.0,1.0,2019.0,7.0,424,False,2022.059997250001,0.11478072550081213
0.0,1.0,2019.0,8.0,296,False,1416.7900031999998,0.08012994044396318
0.0,1.0,2019.0,9.0,77,False,465.22999980000003,0.020844612885760692
0.0,1.0,2019.0,10.0,111,False,624.5500003999999,0.030048727666486193
0.0,1.0,2019.0,11.0,285,False,1535.0199988000004,0.07715213860314023
0.0,1.0,2019.0,12.0,126,False,600.5000013,0.03410936654033568
0.0,1.0,2019.0,13.0,401,False,1930.7300004300007,0.10855441256090959
0.0,1.0,2019.0,14.0,398,False,1855.5499991999998,0.10774228478613969
0.0,1.0,2019.0,15.0,327,False,1506.1100006900017,0.08852192744991878
0.0,1.0,2019.0,16.0,115,False,637.8000014799999,0.031131564699512723
0.0,1.0,2019.0,17.0,338,False,1787.0999959999988,0.09149972929074174
0.0,1.0,2019.0,18.0,160,False,824.3600000999999,0.04331348132106118
0.0,1.0,2019.0,19.0,120,False,580.0799998999996,0.03248511099079589
0.0,1.0,2019.0,20.0,82,False,543.6300016,0.022198159177043854
0.0,1.0,2019.0,21.0,154,False,750.6799982000003,0.041689225771521385
0.0,1.0,2019.0,22.0,382,False,2049.6299981000006,0.10341093665403357
0.0,1.0,2019.0,23.0,146,False,760.9300003000002,0.03952355170546833
0.0,1.0,2019.0,24.0,120,False,650.6500033000001,0.03248511099079589
0.0,1.0,2019.0,25.0,768,False,4036.2299948100026,0.20790471034109367
0.0,1.0,2019.0,26.0,123,False,680.1199995000003,0.033297238765565784
0.0,1.0,2019.0,27.0,97,False,567.1600009000001,0.02625879805089334
0.0,1.0,2019.0,28.0,161,False,879.1499993199996,0.04358419057931781
0.0,1.0,2019.0,29.0,270,False,1335.7399994000002,0.07309149972929074
0.0,1.0,2019.0,30.0,3,False,10.1099997,0.0008121277747698972
0.0,1.0,2019.0,31.0,42,False,273.7700003,0.01136978884677856
0.0,1.0,2019.0,32.0,24,False,132.0199999,0.006497022198159177
0.0,1.0,2019.0,33.0,53,False,336.35999960000004,0.014347590687601516
0.0,1.0,2019.0,34.0,125,False,721.4299997900001,0.03383865728207905
0.0,1.0,2019.0,35.0,64,False,338.04999919999995,0.017325392528424473
0.0,1.0,2019.0,36.0,308,False,1738.6200009699999,0.08337845154304277
0.0,1.0,2019.0,37.0,55,False,331.54999969999983,0.01488900920411478
0.0,1.0,2019.0,38.0,37,False,247.27000110000006,0.010016242555495398
0.0,1.0,2019.0,39.0,17,False,114.2600002,0.0046020573903627505
0.0,1.0,2019.0,40.0,121,False,629.4100026000002,0.03275582024905252
0.0,1.0,2019.0,41.0,268,False,1606.8600020000001,0.07255008121277748
0.0,1.0,2019.0,42.0,68,False,477.41000169999995,0.018408229561451002
0.0,1.0,2019.0,43.0,82,False,493.3000001,0.022198159177043854
0.0,1.0,2019.0,44.0,43,False,227.10999929999997,0.011640498105035191
0.0,1.0,2019.0,45.0,36,False,182.03999949999994,0.009745533297238766
0.0,1.0,2019.0,46.0,6,False,50.5000003,0.0016242555495397943
0.0,1.0,2019.0,47.0,17,False,101.7899994,0.0046020573903627505
0.0,1.0,2019.0,48.0,135,False,803.8599978999998,0.03654574986464537
0.0,1.0,2019.0,49.0,186,False,1174.0000037999998,0.050351922035733625
0.0,1.0,2019.0,50.0,50,False,333.36000240000004,0.01353546291283162
0.0,1.0,2019.0,52.0,55,False,311.23000030000003,0.01488900920411478
0.0,1.0,2019.0,53.0,123,False,773.0400004999999,0.033297238765565784
0.0,1.0,2019.0,54.0,28,False,160.3600012,0.007579859231185706
0.0,1.0,2019.0,55.0,155,False,1007.2400008999999,0.04195993502977802
0.0,1.0,2019.0,56.0,168,False,857.7100006000002,0.04547915538711424
0.0,1.0,2019.0,57.0,243,False,1540.920002500002,0.06578234975636167
